source,mark,jump_month,jump_size,rel_jump,verdict
uk_2015,nbsp_rate,2016-11-01,0.017232324462383986,2.1826574729193524,no coordinated jump
uk_2015,double_space_rate,2017-04-01,0.13644836346308398,0.1285819646814632,no coordinated jump
uk_2017,em_dash_rate,2019-09-01,-0.003007189875158171,1.086355981275597,no coordinated jump
uk_2017,en_dash_rate,2018-08-01,0.009353647318979103,0.44565511189724777,no coordinated jump
uk_2017,curly_dq_open_rate,2018-03-01,-0.01735825091600418,0.22946541145428273,no coordinated jump
uk_2017,curly_dq_close_rate,2018-11-01,-0.023686106006304428,0.31936180107547063,no coordinated jump
uk_2017,curly_sq_rate,2017-12-01,0.11852854986985523,0.1995014869276079,no coordinated jump
uk_2017,nbsp_rate,2019-06-01,0.012049930791060131,1.0393115016815584,no coordinated jump
uk_2017,zwsp_rate,2018-01-01,-0.007319068536162376,5.472421179264304,no coordinated jump
uk_2017,double_space_rate,2019-01-01,0.09373735388120019,0.1661138407733586,no coordinated jump
uk_2019,em_dash_rate,2021-03-01,0.004523083373593788,2.3644581944667316,no coordinated jump
uk_2019,en_dash_rate,2022-11-01,-0.007880037340025106,0.6175085253334146,no coordinated jump
uk_2019,curly_dq_open_rate,2022-07-01,-0.016409787659843765,0.34790893106120585,no coordinated jump
uk_2019,curly_dq_close_rate,2020-07-01,0.01667786389589309,0.3593373022226929,no coordinated jump
uk_2019,curly_sq_rate,2023-09-01,0.21247233947118122,0.3681819470398261,no coordinated jump
uk_2019,ellipsis_char_rate,2024-05-01,0.022158688244720302,3.4228853244082917,no coordinated jump
uk_2019,nbsp_rate,2022-12-01,0.009092739317566156,1.2146175295387398,no coordinated jump
uk_2019,double_space_rate,2024-05-01,-0.10734623670578003,0.2591216532653403,no coordinated jump
uk_current,em_dash_rate,2025-05-01,0.050577949732542024,0.5505398660522792,no coordinated jump
uk_current,en_dash_rate,2026-07-01,-0.022470061977704365,0.5191314451258098,no coordinated jump
uk_current,curly_dq_open_rate,2026-07-01,0.026287056505680084,0.37735507747332825,no coordinated jump
uk_current,curly_dq_close_rate,2026-07-01,0.024588659405708313,0.3464771699276089,no coordinated jump
uk_current,curly_sq_rate,2026-07-01,0.2085583209991455,0.3232386240918265,no coordinated jump
uk_current,ellipsis_char_rate,2025-04-01,-0.0033110175281763077,1.006235484081297,no coordinated jump
uk_current,nbsp_rate,2025-01-01,0.005274719248215358,2.137587487637877,no coordinated jump
uk_current,zwsp_rate,2026-05-01,0.05071862041950226,3.989603976407338,no coordinated jump
uk_current,double_space_rate,2025-01-01,-0.20956451694170636,0.5878025755648245,no coordinated jump
