word,pre_share_recent,post_share,counterfactual,delta,ratio,banned,selected
petition,0.3153270012917081,0.6203319943682524,0.3153270012917081,0.3050049930765443,1.9672657014055863,True,False
sign,0.2058186816948673,0.4918193568598698,0.2058186816948673,0.2860006751650025,2.3895758772228826,True,False
our,0.35028794070421315,0.5958110502448675,0.35028794070421315,0.24552310954065432,1.7009179620830186,False,False
urge,0.0157864196879183,0.20621025335096582,0.0157864196879183,0.19042383366304752,13.062509259701432,False,True
this,0.6613147949420923,0.8300707909543917,0.6613147949420923,0.1687559960122994,1.2551825504328487,False,False
these,0.19933541384957723,0.3647793627465053,0.19933541384957723,0.16544394889692807,1.8299777029172328,False,True
according,0.02543472100320471,0.187323043226007,0.02543472100320471,0.1618883222228023,7.364855435308481,False,True
their,0.33490364233851233,0.49130567794476004,0.33490364233851233,0.1564020356062477,1.467006075282276,False,False
please,0.23356954652447212,0.3889465182138913,0.23356954652447212,0.1553769716894192,1.665227868964243,False,False
that,0.6142076104430111,0.7683674042110928,0.6142076104430111,0.15415979376808175,1.2509897160943522,False,False
believe,0.08501947340631415,0.23706102156944847,0.08501947340631415,0.1520415481631343,2.7883143951799947,False,True
also,0.1907617422539208,0.3399488408071135,0.1907617422539208,0.1491870985531927,1.7820598448645506,False,False
ensure,0.02832628235867719,0.16814345569347536,0.02832628235867719,0.13981717333479818,5.935952115578908,False,True
for,0.6953005395115227,0.8328151971376121,0.6953005395115227,0.1375146576260894,1.1977772917056833,False,False
not,0.4934184031407722,0.6282658031509265,0.4934184031407722,0.13484740001015433,1.273292198166517,False,False
from,0.38399083883054375,0.5176956412920857,0.38399083883054375,0.13370480246154193,1.348197896774684,False,False
but,0.3178614048753102,0.44999761221714607,0.3178614048753102,0.13213620734183584,1.4157038423512596,False,False
who,0.2711400631175871,0.40241155666184414,0.2711400631175871,0.13127149354425705,1.484146429837363,False,False
only,0.21224426086520654,0.3384046564861253,0.21224426086520654,0.12616039562091874,1.5944113405310945,False,False
such,0.10266091297038275,0.22785336501353826,0.10266091297038275,0.1251924520431555,2.219475342862702,False,True
let,0.1464636006616836,0.2712329267594979,0.1464636006616836,0.1247693260978143,1.851879412592205,True,False
community,0.1264616037801949,0.25108202772584065,0.1264616037801949,0.12462042394564576,1.9854407995825412,True,False
support,0.1353301323379081,0.2594090944094198,0.1353301323379081,0.12407896207151167,1.9168613074411012,True,False
with,0.48860633903486567,0.6121710270590364,0.48860633903486567,0.1235646880241707,1.252892109971896,False,False
can,0.35164196233367195,0.47423213199502845,0.35164196233367195,0.1225901696613565,1.3486221293038716,False,False
are,0.5177926510332047,0.6365695795323899,0.5177926510332047,0.1187769284991852,1.2293909121000026,False,False
has,0.37832517961064105,0.4895420913816448,0.37832517961064105,0.11121691177100373,1.2939717411499394,False,False
significant,0.017309862924089203,0.12753661353823786,0.017309862924089203,0.11022675061414866,7.36785808746943,False,True
its,0.10467438887026831,0.21340797396227743,0.10467438887026831,0.10873358509200912,2.03877926841084,False,True
today,0.0463862214373039,0.1506430952745073,0.0463862214373039,0.10425687383720342,3.2475828081431053,False,True
demand,0.04171805704161365,0.14173284497554292,0.04171805704161365,0.10001478793392926,3.3973980340015544,False,True
together,0.05842329525844747,0.15763765174369965,0.05842329525844747,0.09921435648525218,2.698198570388011,False,True
action,0.04865864888818892,0.14685174981982807,0.04865864888818892,0.09819310093163916,3.017998920546968,True,False
personal,0.027236720258261748,0.12529707992084105,0.027236720258261748,0.0980603596625793,4.600299842740226,False,True
deeply,0.00634654193122182,0.10327895367351675,0.00634654193122182,0.09693241174229493,16.273264211087273,False,True
about,0.1922775275342894,0.28888826877339846,0.1922775275342894,0.09661074123910907,1.5024546678856177,False,False
however,0.06767867672781601,0.1605768946826865,0.06767867672781601,0.09289821795487048,2.372636440994261,False,True
call,0.04942698742464935,0.14106653112686257,0.04942698742464935,0.09163954370221322,2.8540386229671846,False,True
time,0.23575090851410527,0.32457397616743766,0.23575090851410527,0.0888230676533324,1.3767665974785332,True,False
individuals,0.02767208519513713,0.11627203679486456,0.02767208519513713,0.08859995159972743,4.201780819007354,False,True
towards,0.027754915284696553,0.11631159067867025,0.027754915284696553,0.0885566753939737,4.190666391361745,False,True
more,0.27629505379636926,0.36346191370600567,0.27629505379636926,0.08716685990963641,1.315484691860893,False,False
crucial,0.006265126682873843,0.0933187544654969,0.006265126682873843,0.08705362778262306,14.894950922635,False,True
source,0.011343757453673296,0.09658194302492505,0.011343757453673296,0.08523818557125176,8.514105085493538,False,True
due,0.09937304434091528,0.1843542763872967,0.09937304434091528,0.08498123204638143,1.8551738815089491,False,True
local,0.055929987626010584,0.1383596221855169,0.055929987626010584,0.0824296345595063,2.4738003360682295,True,False
issue,0.05483712466652054,0.13721287077756966,0.05483712466652054,0.08237574611104911,2.502189376485336,False,True
environment,0.03479748633913859,0.11713911593794527,0.03479748633913859,0.08234162959880667,3.366309703991252,True,False
many,0.2353347875736266,0.31697029247495534,0.2353347875736266,0.08163550490132873,1.3468909367077246,False,False
within,0.05141117034201711,0.13291739797296284,0.05141117034201711,0.08150622763094573,2.585379735351651,False,True
just,0.19447927026250142,0.27589782774491767,0.19447927026250142,0.08141855748241625,1.4186490281073159,True,False
you,0.33484796695345764,0.41430989257091416,0.33484796695345764,0.07946192561745652,1.2373074752115827,False,False
while,0.10300754134399255,0.1823419347102464,0.10300754134399255,0.07933439336625385,1.7701804385498099,False,False
immediate,0.014919284526650882,0.09070707949878198,0.014919284526650882,0.0757877949721311,6.079854522296193,False,True
future,0.05557937579676753,0.128957949488611,0.05557937579676753,0.07337857369184347,2.3202482510807747,True,False
signing,0.05240812691742628,0.12540319802569255,0.05240812691742628,0.07299507110826628,2.3928196904132175,True,False
stand,0.051619550300639076,0.12445614945562096,0.051619550300639076,0.07283659915498189,2.411027386538083,False,True
potential,0.021218799543463746,0.09314882465311647,0.021218799543463746,0.07193002510965273,4.389919630576372,False,True
concerned,0.016675530711762716,0.08803072411003057,0.016675530711762716,0.07135519339826786,5.27903582990224,False,True
all,0.37841974325799943,0.449529575657696,0.37841974325799943,0.0711098323996966,1.1879125856052792,False,False
without,0.1046590083523349,0.17521010953154925,0.1046590083523349,0.07055110117921436,1.6741044300907557,False,False
where,0.11403101648531551,0.1839347304009222,0.11403101648531551,0.0699037139156067,1.613023684872691,False,False
over,0.1518088021916608,0.22159598173476008,0.1518088021916608,0.06978717954309929,1.459704434364695,False,False
those,0.11494528663355442,0.18434598911195688,0.11494528663355442,0.06940070247840245,1.6037716248396674,False,False
provide,0.05203037167056929,0.12134177051999272,0.05203037167056929,0.06931139884942342,2.3321334563640845,False,True
national,0.03249222477702852,0.10163365410795855,0.03249222477702852,0.06914142933093004,3.127937677564385,True,False
your,0.18016610551789972,0.2490833897709262,0.18016610551789972,0.06891728425302648,1.382520807978388,False,False
among,0.017395873111060334,0.08564120850209095,0.017395873111060334,0.06824533539103061,4.923076177627444,False,True
safety,0.04990929153758272,0.1180596152499796,0.04990929153758272,0.06815032371239688,2.3654836927724827,True,False
join,0.03444075433045319,0.10241905722827137,0.03444075433045319,0.06797830289781817,2.973775087664396,False,True
current,0.05650289072232847,0.12355726597714914,0.05650289072232847,0.06705437525482066,2.186742384285173,True,False
impact,0.03847123975416302,0.10508814412429704,0.03847123975416302,0.06661690437013401,2.731602745215023,False,True
often,0.03257631854064168,0.09726073621038824,0.03257631854064168,0.06468441766974656,2.9856270004557866,False,True
experience,0.036202170303563624,0.09943355520403342,0.036202170303563624,0.0632313849004698,2.7466186245260964,False,True
been,0.2654923067247794,0.32845517036951244,0.2654923067247794,0.06296286364473302,1.237155134254052,False,False
health,0.0826682983137025,0.1447450167583187,0.0826682983137025,0.062076718444616194,1.750913224426767,True,False
lack,0.03528823399179041,0.09655536468077572,0.03528823399179041,0.06126713068898531,2.736191465496367,False,True
essential,0.0112112751730111,0.07219384481825741,0.0112112751730111,0.060982569645246315,6.439396384815319,False,True
ensuring,0.004921829577222873,0.06573213430798594,0.004921829577222873,0.06081030473076307,13.355223555927163,False,True
like,0.2159692249947597,0.27626085297487074,0.2159692249947597,0.060291627980111034,1.279167682254608,True,False
change,0.1711929220562557,0.22969936532579904,0.1711929220562557,0.05850644326954335,1.3417573727161312,True,False
significantly,0.009168143424422875,0.06750551750874959,0.009168143424422875,0.05833737408432671,7.36305207976161,False,True
residents,0.045402015004712394,0.10334447121424714,0.045402015004712394,0.05794245620953475,2.276208912831749,True,False
take,0.13867511928530815,0.1961275532079676,0.13867511928530815,0.057452433922659446,1.4142951830058113,False,False
authorities,0.0075728616196756235,0.06473539767791481,0.0075728616196756235,0.057162536058239184,8.5483402350468,False,True
than,0.13604445245330746,0.19251522606101507,0.13604445245330746,0.05647077360770761,1.4150906015597309,False,False
upon,0.02782294003107741,0.08390506465667696,0.02782294003107741,0.056082124625599555,3.0156793122134995,False,True
have,0.537774361415097,0.5937338774399143,0.537774361415097,0.0559595160248173,1.1040576123368278,False,False
across,0.04202744544940479,0.09784873705845623,0.04202744544940479,0.05582129160905144,2.3282104351608175,False,True
into,0.1452571007422725,0.2008371414412729,0.1452571007422725,0.05558004069900041,1.3826321771189365,False,False
against,0.08766344787410037,0.1431857195240652,0.08766344787410037,0.05552227164996483,1.633357151656917,False,False
consider,0.02691916893508031,0.0824285799298998,0.02691916893508031,0.055509410994819486,3.062077441123421,False,True
lives,0.06681250291289535,0.12197188179027596,0.06681250291289535,0.05515937887738061,1.8255846805992715,True,False
every,0.11287017137527544,0.16781648672355975,0.11287017137527544,0.054946315348284314,1.4868098867821908,False,False
beloved,0.013658099244872662,0.06749174910855965,0.013658099244872662,0.05383364986368699,4.941518427895191,False,True
well,0.12303045176262821,0.17668235577583202,0.12303045176262821,0.05365190401320381,1.436086377352482,False,False
access,0.04460449083327978,0.09789279822122009,0.04460449083327978,0.053288307387940305,2.1946848039834914,True,False
being,0.21553721375084947,0.26862304272262627,0.21553721375084947,0.0530858289717768,1.2462954217880047,False,False
address,0.020789479132280506,0.07383208431478896,0.020789479132280506,0.05304260518250846,3.551415783195235,False,True
system,0.05653713672339483,0.1092947337585281,0.05653713672339483,0.052757597035133275,1.9331494322616165,False,True
and,0.8978163907353034,0.9500164740688171,0.8978163907353034,0.05220008333351367,1.0581411565573695,False,False
despite,0.025865117872343742,0.07610378256420021,0.025865117872343742,0.05023866469185646,2.942332717747794,False,True
public,0.08539457747812175,0.13538279395523473,0.08539457747812175,0.049988216477112976,1.585379282307709,True,False
protect,0.04808682649106274,0.09778889930198106,0.04808682649106274,0.049702072810918325,2.0335902041727745,True,False
unique,0.009362209990017833,0.058983168153199164,0.009362209990017833,0.04962095816318133,6.300133004503012,False,True
concerns,0.021518852284393004,0.07044370028081615,0.021518852284393004,0.048924847996423146,3.2735807351541193,False,True
society,0.029440263979451747,0.07812525525770278,0.029440263979451747,0.04868499127825103,2.653687321290034,True,False
prioritize,0.0025275261661616803,0.051129308838706436,0.0025275261661616803,0.04860178267254475,20.228992887678697,False,True
lead,0.02397034698167018,0.07208407968647418,0.02397034698167018,0.048113732704804,3.0072188667771877,False,True
quality,0.023572880051549946,0.07157809332036648,0.023572880051549946,0.04800521326881653,3.0364594043594657,False,True
education,0.042544621291263886,0.09000325425484501,0.042544621291263886,0.047458632963581125,2.1155025364704865,True,False
providing,0.017322849499984406,0.06405978208966705,0.017322849499984406,0.046736932589682645,3.69799334051391,False,True
countless,0.010754519413169553,0.05745496986795493,0.010754519413169553,0.04670045045478538,5.3424023576170105,False,True
implement,0.009775735261587567,0.05579952136389808,0.009775735261587567,0.04602378610231052,5.707961587621422,False,True
including,0.05545245337677033,0.10046721335014211,0.05545245337677033,0.04501475997337178,1.8117721982023067,False,True
life,0.11713456455684335,0.16199052505092998,0.11713456455684335,0.04485596049408663,1.3829438446609739,True,False
create,0.04068117338369658,0.08424419474256263,0.04068117338369658,0.04356302135886605,2.0708398439737334,False,True
reconsider,0.005899853478395401,0.04944081946754858,0.005899853478395401,0.04354096598915318,8.380008020300046,False,True
furthermore,0.00942776136509641,0.052825635030268936,0.00942776136509641,0.043397873665172525,5.603200270409977,False,True
act,0.043834298790286885,0.08722076349248879,0.043834298790286885,0.04338646470220191,1.9897834777686871,True,False
contribute,0.007067166290972561,0.049802341065596466,0.007067166290972561,0.04273517477462391,7.047002860143938,False,True
issues,0.04945460866649754,0.09218834746956628,0.04945460866649754,0.04273373880306874,1.8641002316133626,True,False
could,0.12005767015879447,0.1626008105138469,0.12005767015879447,0.042543140355052425,1.3543558716305477,False,False
study,0.014162545590288149,0.05663983745696539,0.014162545590288149,0.04247729186667724,3.9992695589842056,False,True
therefore,0.02772335688586683,0.06973596977176108,0.02772335688586683,0.04201261288589425,2.5154230080741766,False,True
both,0.06316272312726069,0.10479722398986493,0.06316272312726069,0.04163450086260424,1.659162537668282,False,False
american,0.03683228449511093,0.07844241735325402,0.03683228449511093,0.04161013285814309,2.129719033954203,False,True
fair,0.03388142524277105,0.07538043129007452,0.03388142524277105,0.041499006047303465,2.2248305893258635,False,True
actions,0.02884581440569611,0.07028852509364447,0.02884581440569611,0.04144271068794836,2.436697543188962,False,True
the,0.9186144720461863,0.9600509246822424,0.9186144720461863,0.04143645263605611,1.0451075547979967,False,False
justice,0.04620140761291313,0.08718013727460608,0.04620140761291313,0.04097872966169295,1.8869584668290396,True,False
financial,0.02297012122115646,0.06394456132361351,0.02297012122115646,0.040974440102457044,2.7838147090280847,False,True
statistics,0.005162266857788075,0.046082551753719544,0.005162266857788075,0.04092028489593147,8.926805417700736,False,True
numerous,0.014836422057929824,0.055435125352442834,0.014836422057929824,0.04059870329451301,3.736421432067152,False,True
research,0.018030435388002,0.05850466268143381,0.018030435388002,0.04047422729343181,3.2447725982459965,False,True
decision,0.037496256322821726,0.07778439378060849,0.037496256322821726,0.04028813745778676,2.0744575968045584,False,True
recent,0.029819365094394798,0.07007986633538824,0.029819365094394798,0.04026050124099344,2.3501461588315733,False,True
commitment,0.0057465726466346635,0.04598103382185113,0.0057465726466346635,0.04023446117521647,8.001470902622065,False,True
necessary,0.021738023140391288,0.06181801859511292,0.021738023140391288,0.04007999545472163,2.843773704530162,False,True
united,0.04765701736021829,0.08762828988465982,0.04765701736021829,0.03997127252444153,1.8387279510657661,True,False
association,0.010930797951116018,0.050557096031488516,0.010930797951116018,0.0396262980803725,4.625197195811922,False,True
others,0.05980562408897255,0.09930269140945402,0.05980562408897255,0.03949706732048147,1.6604239638352718,False,False
citizens,0.037086478519704424,0.0763266500244765,0.037086478519704424,0.039240171504772076,2.0580721888686027,True,False
resident,0.010791954113071642,0.04984406717896808,0.010791954113071642,0.03905211306589644,4.618632238122193,False,True
request,0.031570135979569876,0.0705148290830783,0.031570135979569876,0.03894469310350842,2.2335928210353884,False,True
respect,0.02113802257329797,0.05964607456848471,0.02113802257329797,0.03850805199518674,2.8217433471677236,False,True
creating,0.019699443787463012,0.058174728707858565,0.019699443787463012,0.03847528492039555,2.953115292771958,False,True
during,0.07601700359495277,0.11410366782760697,0.07601700359495277,0.03808666423265421,1.5010282230485472,False,False
which,0.18027869719507073,0.21822605627706354,0.18027869719507073,0.037947359081992815,1.210492751902527,False,False
urging,0.002794856830544153,0.04068254970790551,0.002794856830544153,0.03788769287736136,14.556219575649855,False,True
making,0.08001869446049394,0.1174425364352415,0.08001869446049394,0.03742384197474756,1.467688734827136,True,False
million,0.02797292383214502,0.06536535828803354,0.02797292383214502,0.037392434455888524,2.336736720132169,False,True
individual,0.020612910889642885,0.05785187536019319,0.020612910889642885,0.037238964470550306,2.80658445912466,False,True
educational,0.01079262930398852,0.047973798601597936,0.01079262930398852,0.037181169297609416,4.445052011919723,False,True
must,0.08203972600758201,0.11913727630937213,0.08203972600758201,0.037097550301790114,1.4521900804295909,False,False
improve,0.019024024876154108,0.05601043167788352,0.019024024876154108,0.03698640680172941,2.9441946193042705,False,True
values,0.011053369702323965,0.04775274869000737,0.011053369702323965,0.036699378987683405,4.320198272203577,False,True
moreover,0.0031635417990777347,0.039553852469598666,0.0031635417990777347,0.03639031067052093,12.503028245471507,False,True
rights,0.05807367244114634,0.09429167266102698,0.05807367244114634,0.036218000219880635,1.6236561026269705,True,False
resources,0.022614220855569436,0.058389406559216955,0.022614220855569436,0.035775185703647516,2.5819773730933915,False,True
under,0.06256996658626422,0.0982963900486902,0.06256996658626422,0.03572642346242598,1.5709835790493916,False,False
potentially,0.01113001453534686,0.046756630331433034,0.01113001453534686,0.035626615796086177,4.200949619871803,False,True
increased,0.02009125245600138,0.05568293005817371,0.02009125245600138,0.03559167760217233,2.771501188396091,False,True
clear,0.02794251386863422,0.06353374618035729,0.02794251386863422,0.035591232311723064,2.273730505388587,False,True
affected,0.020256829689637164,0.0553837566988499,0.020256829689637164,0.03512692700921274,2.7340782120107723,False,True
growth,0.010017989720624785,0.04495583980290228,0.010017989720624785,0.03493785008227749,4.487511073239407,False,True
advocate,0.007828596991280863,0.04274086827246515,0.007828596991280863,0.034912271281184286,5.45958213458529,False,True
difference,0.016638515167113774,0.051417076115080465,0.016638515167113774,0.03477856094796669,3.090244267511739,False,True
promoting,0.005159897297987065,0.03986221515661593,0.005159897297987065,0.034702317858628866,7.72538925768283,False,True
overall,0.015170837460695108,0.04978406296998297,0.015170837460695108,0.034613225509287866,3.2815632689338647,False,True
importance,0.007145411612318859,0.041748304992883234,0.007145411612318859,0.034602893380564374,5.842673208763532,False,True
worldwide,0.006670890026971976,0.04123649978272479,0.006670890026971976,0.03456560975575281,6.181558924820515,False,True
