source,n_excess_words,pi_lb_2024plus
uk_2019,237,0.18771461955868568
canada,1981,0.008333207795403252
changeorg_au,743,0.11753846601779669
changeorg_treated,1044,0.07598660752974515
changeorg_other,1134,0.08577607467970547
