rejection_code,pre_2022,post_2022,pre_share,post_share,share_ratio
already-happening,1637,442,0.019818162007723877,0.03828497184928541,1.9318124372161416
no-action,14477,2080,0.1752642219827847,0.18016457340840192,1.027959793334766
duplicate,43126,5953,0.5221002167043982,0.5156344737981811,0.9876158969114585
fake-name,564,70,0.006828004503577439,0.006063230835859679,0.887994557221357
irrelevant,19891,2192,0.24080822266074262,0.1898657427457774,0.788452074633953
honours,2886,209,0.03493904432149732,0.018103074924209615,0.5181330879468602
foi,20,1,0.0002421278192757957,8.661758336942399e-05,0.35773495019488954
local,0,569,0.0,0.04928540493720225,
operational,0,29,0.0,0.0025119099177132957,
