label,n,phi,coef,se,p,pct_per_sd
post_all,534504,46357.59025013482,-0.06904029883122689,0.012118758924526494,1.2194990143204334e-08,-6.671093113830895
pre_benchmark,384851,101181.54533703628,0.013758928643190256,0.018634617885833978,0.4602998819034506,1.3854018312057903
post_closed_only,534504,46357.59025013482,-0.06904029883122689,0.012118758924526494,1.2194990143204334e-08,-6.671093113830895
uk2019_pre,37483,46608.47388928524,0.03485256131874034,0.04481559514922077,0.4367528266641092,3.5467029651154114
uk2019_post,7369,30236.104520802186,-0.13457598364845424,0.034533928577207,9.742347209028047e-05,-12.591353992506837
thr_10000,919355,,0.0533248638164451,,0.00017339470873068785,
thr_100000,919355,,0.02433448675734252,,0.5366994988268378,
