word,pre_share_recent,post_share,counterfactual,delta,ratio,banned,selected
access,0.25328104700764176,0.3074622792924762,0.06760518253770438,0.23985709675477185,4.547909904998779,True,False
from,0.5923804164288744,0.6278537228476604,0.42995680878729414,0.19789691406036625,1.460271613370981,False,False
safety,0.24049861216515608,0.25422002869578664,0.07438243488523498,0.17983759381055164,3.417742765318505,True,False
well,0.3432975617852104,0.3662456951821007,0.18902627234320205,0.17721942283889866,1.9375385793839996,False,True
program,0.23502220099345036,0.22707696459774046,0.05764568826360811,0.16943127633413235,3.9391838563769013,False,True
will,0.5140023112855898,0.4515778862231855,0.2821919870709316,0.16938589915225388,1.6002505631376314,False,False
communities,0.2551720724099827,0.23220746624712083,0.06390507524173733,0.1683023910053835,3.633631059328802,False,True
include,0.20433665586453603,0.2216782775172106,0.0542679078679128,0.16741036964929779,4.084887113333572,False,True
also,0.43995783078318884,0.40113150484466353,0.2436806904869249,0.15745081435773864,1.6461357854950223,False,False
economic,0.27256039253122033,0.19618989873217701,0.039314285079361105,0.1568756136528159,4.990295469856355,False,True
includes,0.19280297633028814,0.21894503986274372,0.06286773063150675,0.15607730923123697,3.4826299225920745,False,True
national,0.2635366939756677,0.3237796032464071,0.1695782210831854,0.15420138216322168,1.9093230320394698,True,False
being,0.2862890270224964,0.2715290060569635,0.12071638885385762,0.1508126172031059,2.2493135243275337,False,True
during,0.20426142784288162,0.16581465873101825,0.018552907287995114,0.14726175144302314,8.937394886800876,False,True
live,0.09256813815987522,0.18451121823972066,0.0372797161023968,0.14723150213732386,4.949372944067512,True,False
year,0.24353108965302667,0.2395977549086184,0.09647016631649709,0.14312758859212132,2.4836461266434604,True,False
made,0.25360678460554653,0.24588317580160957,0.10404287704569112,0.14184029875591844,2.3632869715206772,False,True
services,0.25797965249930316,0.2563759864707794,0.11759530886492743,0.138780677605852,2.1801548798622448,True,False
security,0.19883970310106436,0.2038776681066632,0.06994701141226708,0.1339306566943961,2.9147445186043757,True,False
risk,0.24306245291212697,0.16481773337153172,0.03212094300549895,0.13269679036603277,5.131161103935079,True,False
requirements,0.11834863647631297,0.14228171298334627,0.009738211730915582,0.1325435012524307,14.61066127075972,False,True
five,0.10005718573696905,0.14515783260654486,0.012687297783093065,0.13247053482345178,11.441193789900666,False,True
safe,0.16748154122669454,0.16396140884969881,0.03165241281583406,0.13230899603386476,5.180060357600209,True,False
with,0.7054258852474721,0.6808950119262926,0.5502393491671603,0.13065566275913232,1.2374524158566487,False,False
