model,term,OR,coef,p,n
P(rejected),lex_score_v6,0.9570222266983878,-0.043928662408723174,2.040456901558798e-14,146303
P(rejected),lex_score_v6:post_llm[T.True],1.0620856803160887,0.060234597829167985,1.2675770835403815e-06,146303
P(rejected),post_llm[T.True],0.32929298141665736,-1.1108074034720914,0.0,146303
P(duplicate|rejected),post_llm[T.True],0.6872471328639651,-0.37506132384222474,6.984499161302843e-53,86414
