spec,era,n,coef,p
percentile_within_source_qtr,post,534489,-0.0058477809377333835,1.47988238839038e-168
percentile_within_source_qtr,pre_benchmark,384773,0.0063784742634911025,2.6542156121313466e-44
qpois_source_qtr_FE,post,534504,-0.07199353287009266,3.6183344095869604e-09
qpois_source_qtr_FE,pre_benchmark,384851,0.020083454915762047,0.2604145388576945
