quarter,obs_share,counterfactual,pi_lb,ci_lo,ci_hi,n_docs_estimation_half
2022Q4,0.9007466666666667,0.8958829102102169,0.004863756456449764,0.00015673678362577162,0.008867594660807464,18750
2023Q1,0.9030243401634085,0.8958829102102169,0.007141429953191558,0.002567873978809121,0.011262525804699226,23377
2023Q2,0.9268394648829431,0.8958829102102169,0.030956554672726178,0.026685340023784546,0.034940844184503106,21528
2023Q3,0.9449786908534586,0.8958829102102169,0.049095780643241715,0.045353385025906294,0.05285355733939302,18302
2023Q4,0.9590970146020191,0.8958829102102169,0.0632141043918022,0.060333543700704054,0.06594864522013381,23079
2024Q1,0.966069115373365,0.8958829102102169,0.07018620516314811,0.06750808539805615,0.07287210049779977,23931
2024Q2,0.972766231970877,0.8958829102102169,0.07688332176066004,0.07452267491743356,0.07939163906591233,21701
2024Q3,0.9740303868744236,0.8958829102102169,0.07814747666420663,0.0752148501303831,0.08075068306689906,20601
2024Q4,0.9746123367411827,0.8958829102102169,0.07872942653096582,0.07628854990466084,0.08111164884750936,20443
