word,mean_ratio,mean_delta,obs
perpetuates,34.380407986907635,-0.018329090518855323,0.00397011577674293
ranked,27.360007804283537,0.002120302548169355,0.024396148997008205
embrace,20.98794200163707,-0.01634755511090458,0.006067393437609705
homeland,20.941545142437278,-0.020139274258368034,0.002151438237547432
spirit,20.745989379686637,-0.007047038562461726,0.015679024812726632
deeply,19.948195271619234,0.03977005796018917,0.0641563865601033
innovative,19.72994507821843,-0.01596736962679408,0.0064735926064725495
disappointed,19.683166979624634,-0.017588035739389187,0.00479664842926788
addressing,18.710498694649,0.017856795292993093,0.04076707491101619
presence,18.061465784463255,-0.00843841393261143,0.014312081451271266
accessibility,17.598256339465266,-0.01243273299445273,0.010174941880353625
enduring,16.018185303586122,-0.018481165824495084,0.003903518344161985
ukraine,15.178599386792406,0.0026518522079525507,0.025043006487784677
ms,14.99012354982046,-0.018138479585982675,0.004273815124538677
sign,14.664883633078935,0.2640472284009274,0.299678614035695
civic,13.531639269520985,-0.01993747852347878,0.002403139789652413
demonstrates,11.791610133955553,0.02569531945500375,0.04813893552626331
alarming,11.713404338446976,-0.002232379769303449,0.021224699864178617
platform,11.296893037031394,0.020125679580582295,0.04365092783911812
respected,10.844833639650632,-0.012746518219290251,0.010096359570749074
urge,10.693158525192876,0.09613544236424391,0.1261164916604256
countless,10.520496945958184,0.010802037191200356,0.03528051413353545
facts,10.05590284141582,-0.01082653633650837,0.012204817084718142
beings,9.897594452503062,-0.01501778335340369,0.007724750516500199
according,9.556964864539205,0.09055321933422784,0.12139646955958816
exclusion,9.482768633094688,-0.019371704647049105,0.0030660714625206065
tradition,9.381572141202652,-0.016277550724950223,0.006474382726803751
foster,9.15244956836978,-0.0010485968201336127,0.022854009666792144
harmed,9.076928980954001,-0.020045403237961387,0.0023493715874904147
propose,9.060180505986976,-0.003539070113644923,0.020167087797192326
negatively,8.950077546750782,-0.010592051305900097,0.012566192005918173
letter,8.903751417848182,-0.01474388951033003,0.008083589946928696
revealed,8.745022508514408,0.004181978191579076,0.026764171667337074
proactive,8.63871334714672,-0.017828912303137844,0.004760702810368003
rich,8.326286364250196,-0.010583283561315241,0.012651951414406032
accountability,8.305486169482528,0.019340512780018197,0.04332766547881021
al,8.302255091523774,-0.01736703567324953,0.005393015937569023
southern,8.287880415945027,-0.01957593287433378,0.002877773853720516
contributing,8.168054617876395,-0.009545950281759731,0.013878795367471818
join,8.05164231972453,0.05800815072986909,0.08563997068262097
threatens,8.042869892555785,-0.013637512478519964,0.009425338609261206
de,8.032493697809821,-0.016968985474329776,0.005730913283282187
behavior,7.948433974305078,-0.0015676597430643684,0.022549698581635667
securing,7.699113832944028,-0.019186709612627802,0.0033232751800360504
unjust,7.630163874836033,-0.009102182803439782,0.014432784707343433
fostering,7.516764138228076,-0.0024469936822009617,0.021703490289467924
soil,7.280449462758429,-0.017587753940132313,0.005167534161516529
fell,7.275831474852012,-0.019248348087949407,0.0032738489137981337
aids,7.167882679711735,0.001807622896879039,0.024225225283386262
threatened,7.134554248264766,-0.016337345810856916,0.006492131322243029
coastal,6.986225141257402,-0.020344991036193246,0.0020752651883069145
bringing,6.960745828382116,-0.008708359462492874,0.014945246383662686
graduation,6.957336861662068,-0.01938765405868108,0.0031466476124191105
legacy,6.913130370373058,-0.01407835189636531,0.009059584413142549
republic,6.817068423261516,-0.019273570009584517,0.0032682684295215272
precedent,6.812881379674128,-0.01792949520831002,0.004758349863569283
petition,6.780020376451033,0.32256601180326316,0.38192969015530026
administrative,6.694171477654083,0.003041452530927854,0.0256604343392883
grown,6.689120690609319,-0.01700387767425437,0.005795998831667042
popular,6.6321057136208275,-0.009003499673280804,0.014696815859511964
