source,quarter,n,nll,ratio,ci_lo,ci_hi,holdout_nll
uk_2019,2022Q1,250,3.5354866981506348,0.9933214783668518,0.9691529870033264,1.012295126914978,3.5592572689056396
uk_2019,2022Q2,250,3.519726037979126,0.9888933897018433,0.9705849289894104,1.0066518783569336,3.5592572689056396
uk_2019,2022Q3,250,3.5736076831817627,1.0040318965911865,0.9880141019821167,1.0227795839309692,3.5592572689056396
uk_2019,2022Q4,250,3.580134868621826,1.0058656930923462,0.9880342483520508,1.0217958688735962,3.5592572689056396
uk_2019,2023Q1,250,3.5195696353912354,0.9888494610786438,0.9680275321006775,1.0079025030136108,3.5592572689056396
uk_2019,2023Q2,250,3.5004570484161377,0.9834796190261841,0.965958297252655,1.0009156465530396,3.5592572689056396
uk_2019,2023Q3,250,3.5440266132354736,0.9957208037376404,0.975911021232605,1.0178691148757935,3.5592572689056396
uk_2019,2023Q4,250,3.5141284465789795,0.9873207211494446,0.9700121879577637,1.0045223236083984,3.5592572689056396
uk_2019,2024Q1,250,3.3629891872406006,0.9448570013046265,0.9278262853622437,0.964962899684906,3.5592572689056396
uk_2019,2024Q2,250,3.4755449295043945,0.9764803647994995,0.958182156085968,0.9968428611755371,3.5592572689056396
changeorg_treated,2022Q3,250,3.8980672359466553,1.0097399950027466,0.9927060008049011,1.026423454284668,3.860466241836548
changeorg_treated,2022Q4,250,3.886552333831787,1.0067572593688965,0.9905772805213928,1.024392008781433,3.860466241836548
changeorg_treated,2023Q1,250,3.824385643005371,0.9906538128852844,0.9729200601577759,1.0078685283660889,3.860466241836548
changeorg_treated,2023Q2,250,3.704042911529541,0.9594807028770447,0.9410290122032166,0.9769828915596008,3.860466241836548
changeorg_treated,2023Q3,250,3.5822463035583496,0.927931010723114,0.9126622080802917,0.9465010762214661,3.860466241836548
changeorg_treated,2023Q4,250,3.336897373199463,0.8643767833709717,0.8486682176589966,0.8785319328308105,3.860466241836548
changeorg_treated,2024Q1,250,3.352750539779663,0.868483304977417,0.8516283631324768,0.8832036256790161,3.860466241836548
changeorg_treated,2024Q2,250,3.4091758728027344,0.8830994963645935,0.8684189319610596,0.900333046913147,3.860466241836548
changeorg_treated,2024Q3,250,3.412182331085205,0.8838782906532288,0.8711323142051697,0.8972060084342957,3.860466241836548
changeorg_treated,2024Q4,250,3.4742507934570312,0.8999562859535217,0.8841732740402222,0.9150453209877014,3.860466241836548
